CollectionSurveyKey,CollectionUnitKey,ScbId,VeNr,CUParentStatusCode,CUStatusCode,IndustryCode,PopulationSize,SampleSize,Stratum,AnnualTurnoverTotal,AnnualTurnoverDomestic,AnnualInventories,Netto,IndHandTj,SampleOccasion,Bgrupp
3,3428947,,1635267,00,002,18122,274,5,180000001,2767.6417940866,2069.6417940866,0,1,,2023,18000
3,3428948,,1636083,00,002,25620,202,56,255XX0003,81939.2599170459,77146.2599170459,0,1,,2023,255XX
3,3428949,,1638287,00,002,28300,173,28,280000001,73663.0044721957,63305.0044721957,0,1,,2023,28000
3,3428950,,1638683,00,002,11050,19,9,110000001,39833.4156180057,39818.4156180057,0,1,,2023,11000
3,3428951,,1638816,00,002,22220,139,12,220000001,52307.6953029031,50865.6953029031,0,1,,2023,22000
3,3428952,,1639327,00,002,10310,203,21,100000001,58539.1554618529,58509.1554618529,0,1,,2023,10000
3,3428953,,1639517,00,002,25620,889,29,255XX0001,11758.5120847102,11758.5120847102,0,1,,2023,255XX
3,3428954,,1639533,00,002,25730,618,68,255XX0002,48093.4847038426,44706.4847038426,0,1,,2023,255XX
3,3428955,,1639772,00,002,33120,1019,15,330000001,6956.1512927892,6955.1512927892,0,1,,2023,33000
3,3428956,,1640168,00,002,32990,61,5,321XX0003,18373.3376086509,18373.3376086509,0,1,,2023,321XX
3,3428957,,1641141,00,002,25620,618,68,255XX0002,41591.3548097817,41537.3548097817,0,1,,2023,255XX
3,3428958,,1641877,00,002,25120,71,7,251XX0002,79572.8505843896,79608.8505843896,0,1,,2023,251XX
3,3428959,,1643543,00,002,27120,64,9,271XX0001,104687.1395432050,104687.1395432050,0,1,,2023,271XX
3,3428960,,1646736,00,002,33120,1019,15,330000001,8791.8107301968,8791.8107301968,0,1,,2023,33000
3,3428961,,1647122,00,002,25999,889,29,255XX0001,12340.0005298139,12152.0005298139,0,1,,2023,255XX
3,3428962,,1648377,00,002,32120,210,5,321XX0001,2326.6487486467,2326.6487486467,0,1,,2023,321XX
3,3428963,,1648765,00,002,32300,210,5,321XX0001,2008.1701838911,2008.1701838911,0,1,,2023,321XX
3,3428964,,1650225,00,002,25620,889,29,255XX0001,21901.3413277192,21901.3413277192,0,1,,2023,255XX
